match_id,innings_number,over_number,bowler,runs_conceded,wickets,is_maiden
1075994,1,8,486065b3,7,0,False
1075994,1,9,bf1d7d3e,4,0,False
1075994,1,10,3a0f6df2,3,0,False
1075994,1,11,bf1d7d3e,7,0,False
1075994,1,12,3086f7a4,10,0,False
1075994,1,13,eb2d5fe7,14,0,False
1075994,1,14,3a0f6df2,16,0,False
1075994,1,15,0f12f9df,4,0,False
1075995,1,0,9cb8d7a6,5,1,False
1075995,1,1,e174dadd,3,0,False
1075995,1,2,9cb8d7a6,2,1,False
1075995,1,3,f0e722e0,4,0,False
1075995,1,4,9cb8d7a6,8,0,False
1075995,1,5,e93f608d,10,0,False
1075995,1,6,6dd8b88c,2,0,False
1075995,1,7,e93f608d,14,0,False
1075995,1,8,6dd8b88c,3,1,False
1075995,1,9,e174dadd,7,0,False
1075995,1,10,6dd8b88c,5,1,False
1075995,1,11,e174dadd,18,0,False
1075995,1,12,f0e722e0,8,1,False
1075995,2,0,a8e3170f,2,1,False
1075995,2,1,68ddabdb,18,0,False
1075995,2,2,a8e3170f,3,1,False
1075995,2,3,b8eddbdb,8,0,False
1075995,2,4,9de62878,14,0,False
1075995,2,5,b8eddbdb,2,1,False
1075995,2,6,a8e3170f,2,0,False
1075995,2,7,05d74535,4,0,False
1075995,2,8,4329fbb5,9,0,False
1075995,2,9,05d74535,6,0,False
1075996,1,0,3a0f6df2,13,0,False
1075996,1,1,eb2d5fe7,6,0,False
1075996,1,2,3a0f6df2,10,0,False
1075996,1,3,eb2d5fe7,17,0,False
1075996,1,4,0f12f9df,14,0,False
1075996,1,5,3086f7a4,13,0,False
1075996,1,6,486065b3,2,1,False
1075996,1,7,bf1d7d3e,12,0,False
1075996,1,8,486065b3,11,0,False
1075996,1,9,3a0f6df2,3,0,False
1075996,1,10,486065b3,4,1,False
1075996,1,11,0f12f9df,5,0,False
1075996,1,12,486065b3,11,0,False
1075996,1,13,3a0f6df2,2,1,False
1075996,1,14,3086f7a4,10,0,False
1075996,1,15,bf1d7d3e,11,0,False
1075996,1,16,3086f7a4,21,0,False
1075996,1,17,0f12f9df,10,0,False
1075996,1,18,eb2d5fe7,14,0,False
1075996,1,19,0f12f9df,8,0,False
1075996,2,0,64d43928,7,0,False
1075996,2,1,9d430b40,4,0,False
1075996,2,2,64d43928,9,1,False
1075996,2,3,9d430b40,2,0,False
1075996,2,4,1bf9a8ef,13,1,False
1075996,2,5,7662cf7a,15,0,False
1075996,2,6,f2800ef3,4,0,False
