match_id,innings_number,player_hash,batting_position
1128825,2,f2800ef3,9
1128825,2,45a7e761,10
1128825,2,0a8fce53,11
1128826,1,0fa5042b,1
1128826,1,bbff906c,2
1128826,1,0a4736eb,3
1128826,1,2e8994e7,4
1128826,1,7eae4418,5
1128826,1,bb4b445b,6
1128826,1,bd4ea627,7
1128826,1,9de62878,8
1128826,2,50250426,1
1128826,2,4329fbb5,2
1128826,2,3029e282,3
1128826,2,39f01cdb,4
1128826,2,3086f7a4,5
1128826,2,2254ab79,6
1128827,1,50250426,1
1128827,1,4329fbb5,2
1128827,1,3029e282,3
1128827,1,39f01cdb,4
1128827,1,cad00a4d,5
1128827,1,2254ab79,6
1128827,1,3086f7a4,7
1128827,1,eb2d5fe7,8
1128827,1,012829ff,9
1128827,1,486065b3,10
1128827,2,3b041a12,1
1128827,2,ff077124,2
1128827,2,35205dfc,3
1128827,2,9ab63e7b,4
1128827,2,7147f314,5
1128827,2,e9ea5eb5,6
1128827,2,c03c6200,7
1128829,1,0fa5042b,1
1128829,1,1aba45cd,2
1128829,1,2e8994e7,3
1128829,1,7eae4418,4
1128829,1,18fac429,5
1128829,1,0a4736eb,6
1128829,1,bbd41817,7
1128829,1,bb4b445b,8
1128829,1,bd4ea627,9
1128829,1,9de62878,10
1128829,1,68ddabdb,11
1128829,2,fd2bf2a0,1
1128829,2,b8a55852,2
1128829,2,1777c020,3
1128829,2,89c16049,4
1128829,2,d1523761,5
1128829,2,1ff2f550,6
1128829,2,9d430b40,7
1128829,2,5af743d0,8
1128829,2,f2800ef3,9
1128829,2,30afc92b,10
1128829,2,0a8fce53,11
1128829,3,b8a55852,1
1128829,3,1777c020,2
1128829,3,fd2bf2a0,3
1128829,4,bbd41817,1
1128829,4,0a4736eb,2
1128830,1,3029e282,1
1128830,1,4329fbb5,2
1128830,1,e191bf68,3
1128830,1,2254ab79,4
1128830,1,cad00a4d,5
1128830,1,bf1d7d3e,6
1128830,1,3086f7a4,7
1128830,1,486065b3,8
1128830,1,eb2d5fe7,9
1128830,1,012829ff,10
1128830,1,a63775d6,11
1128830,2,6b71e6cf,1
1128830,2,f8fd6e3f,2
1128830,2,b98b5e1c,3
1128831,1,1777c020,1
1128831,1,b8a55852,2
1128831,1,89c16049,3
1128831,1,d1523761,4
1128831,1,1ff2f550,5
1128831,1,fd2bf2a0,6
1128831,1,9d430b40,7
1128831,1,5af743d0,8
1128831,1,f2800ef3,9
1128831,1,30afc92b,10
1128831,1,0a8fce53,11
1128831,2,3b041a12,1
1128831,2,ff077124,2
1128832,1,82c78845,1
1128832,1,bdadf7da,2
1128832,1,8a75e999,3
1128832,1,c995d726,4
1128832,1,7ca5e05d,5
1128832,1,9cb8d7a6,6
1128832,1,2f26ac1a,7
1128832,1,1bf9a8ef,8
1128832,2,2e8994e7,1
1128832,2,0fa5042b,2
1128832,2,bb4b445b,3
1128832,2,0a4736eb,4
1128833,1,f8fd6e3f,1
1128833,1,6b71e6cf,2
1128833,1,b98b5e1c,3
1128833,1,64c34cd0,4
1128833,1,a757b0d8,5
1128833,2,ff077124,1
1128833,2,1bae756b,2
1128833,2,35205dfc,3
1128833,2,9ab63e7b,4
1128833,2,90f47cf2,5
1128833,2,4a461c24,6
1128833,2,57bd3ecc,7
1128833,2,2911de16,8
1128833,2,b3118300,9
1128833,2,f69f1d8a,10
1128834,1,6b71e6cf,1
1128834,1,f8fd6e3f,2
1128834,1,b98b5e1c,3
1128834,1,64d43928,4
1128834,1,64c34cd0,5
1128834,1,d346d939,6
1128834,1,a757b0d8,7
1128834,2,50250426,1
1128834,2,4329fbb5,2
1128834,2,39f01cdb,3
1128834,2,cad00a4d,4
1128834,2,e191bf68,5
1128834,2,2254ab79,6
1128834,2,eb2d5fe7,7
1128834,2,3086f7a4,8
1128834,2,486065b3,9
1128834,2,b2a79f17,10
1128835,1,1777c020,1
1128835,1,ed90abe4,2
1128835,1,89c16049,3
1128835,1,d1523761,4
1128835,1,b8a55852,5
1128835,1,9d430b40,6
1128835,1,5af743d0,7
1128835,1,907d6e58,8
1128835,1,30afc92b,9
1128835,2,2e8994e7,1
1128835,2,0fa5042b,2
1128835,2,9de62878,3
1128835,2,0a4736eb,4
1128835,2,7eae4418,5
1128835,2,1aba45cd,6
1128836,1,50250426,1
1128836,1,4329fbb5,2
1128836,1,39f01cdb,3
1128836,1,cad00a4d,4
1128836,1,eb2d5fe7,5
1128836,1,e191bf68,6
1128836,2,bdadf7da,1
1128836,2,0dc00542,2
1128836,2,c995d726,3
1128836,2,8a75e999,4
1128836,2,7ca5e05d,5
1128836,2,9cb8d7a6,6
1128836,2,2f26ac1a,7
1128836,2,aa8d28ae,8
1128836,2,1bf9a8ef,9
1128836,2,e174dadd,10
1128837,1,f8fd6e3f,1
1128837,1,6b71e6cf,2
1128837,1,b98b5e1c,3
1128837,1,64c34cd0,4
1128837,1,a757b0d8,5
1128837,1,d346d939,6
1128837,1,e5d452d7,7
1128837,1,64d43928,8
1128837,1,acee4cc4,9
